normalized_key,claimed_status,claimed_manufacturer,claimed_description,used_in_pair,pair_role,why_it_matters,verified,verdict,actual_manufacturer,official_part_name,datasheet_url,accessed,lifecycle_status,notes,scoring_status
bme280,REAL,Bosch Sensortec,humidity + pressure + temperature,bme280|bmp280 ; bme280|bme680,DISTINCT,"Both sides of the bme280/bmp280 pair are real parts, so merging them is a silent collision rather than a cleanup. The BME280 measures humidity and the BMP280 does not.",Y,CONFIRMED,Bosch Sensortec,BME280,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme280-ds002.pdf,8/14/2026,Active,"Measures relative humidity, barometric pressure and temperature. Bosch describes it on the datasheet cover as a combined humidity and pressure sensor, and advertises it as register and performance compatible with the BMP280; section 5.2 documents that compatibility in detail. The compatibility runs one way. A BME280 can read pressure and temperature exactly as a BMP280 does, but a BMP280 cannot stand in for a BME280, because it has no humidity channel at all. The two also report different identities: register 0xD0 returns 0x58 on the BMP280 and 0x60 on the BME280, listed among the register incompatibilities in Table 17. Source: BST-BME280-DS001-24, revision 1.24, February 2024. The file is served under the name bst-bme280-ds002.pdf, and its page footers still carry the previous revision, so the document number rather than the filename is the reliable reference.",SCORED
bmp280,REAL,Bosch Sensortec,pressure + temperature (NO humidity),bme280|bmp280 ; bmp085|bmp280,DISTINCT,"Appears in two distinct-part pairs, with the BME280 and with the BMP085. Its former typo pair with bmp200 was dropped; the bmp200 entry explains why.",Y,CONFIRMED,Bosch Sensortec,BMP280,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmp280-ds001.pdf,8/14/2026,Active,"Measures barometric pressure and temperature. It does not measure humidity, and the absence is complete rather than a matter of specification: the word does not appear anywhere in the 49 pages of the datasheet. That is the whole of the difference from the BME280, which is otherwise register compatible with it. References between the two run in one direction only. The BME280 datasheet names the BMP280 nine times; this document never mentions the BME280. Source: BST-BMP280-DS001-26, revision 1.26, October 2021.",SCORED
bme680,REAL,Bosch Sensortec,BME280 + gas/VOC,bme280|bme680,DISTINCT,One digit away from the BME280 and a genuinely separate product rather than another name for the same one. It adds a gas sensor the BME280 does not have.,Y,CONFIRMED,Bosch Sensortec,BME680,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme680-ds001.pdf,8/14/2026,Active,"Measures barometric pressure, temperature, relative humidity and gas, which Bosch presents as a four-in-one sensor for low-power gas, pressure, temperature and humidity measurement. The gas channel responds to volatile organic compounds and is what separates this part from the BME280. That relationship is a practitioner's summary rather than a manufacturer statement: the BME680 datasheet does not mention the BME280 anywhere, and Bosch documents the two as separate products. Source: BST-BME680-DS001-09, revision 1.9, February 2024.",SCORED
bmp085,REAL,Bosch Sensortec,earlier-generation pressure sensor,bmp085|bmp280,DISTINCT,"A legacy part, archived rather than current. Absence from a live catalog is not evidence that a part never existed, so a lookup that finds nothing cannot be read as a negative result.",Y,CONFIRMED,Bosch Sensortec,BMP085,https://cdn.sparkfun.com/assets/6/f/3/9/4/BST-BMP085-DS000-05.pdf,8/3/2026,Obsolete,"An earlier-generation Bosch pressure sensor, discontinued, with the BMP180 as its successor. No manufacturer-hosted copy of the datasheet exists: bosch-sensortec.com no longer carries a BMP085 datasheet or product page, and the legacy product path returns 404 while the equivalent BMP180 path still resolves. Every obtainable copy is a mirror of Bosch's own document, in two revisions, BST-BMP085-DS000-05 rev 1.2 (SparkFun, cited here) and BST-BMP085-DS000-06 (Adafruit). The content is Bosch's; only the host is third party, and there is no manufacturer-hosted alternative to prefer. A manufacturer withdrawing a record is not evidence that the part never existed, which makes a live catalog an incomplete test of whether an identifier is real.",SCORED
hdc1008,REAL,Texas Instruments,"humidity + temperature; +/-4 %RH accuracy class, DSBGA 2.04x1.59 mm",hdc1008|hdc1080,DISTINCT,"Every metric tested scores this pair as similar as, or more similar than, a genuine typo, yet both strings are real Texas Instruments part numbers. It is the single pair that defeats all five metrics at once.",Y,CONFIRMED,Texas Instruments,HDC1008,https://www.ti.com/lit/gpn/HDC1008,8/9/2026,"NRND (Not Recommended for New Designs), per SNAS649B orderable addendum","Measures humidity and temperature. Confirmed against TI datasheet SNAS649B (October 2014, revised December 2015), with the text extracted from the PDF rather than read off a product page. It differs from the HDC1080 on five independent specifications, every one of them from TI's own document. The package is DSBGA, 8 bumps, 2.04 mm x 1.59 mm, against a 6-pin PWSON at 3.00 mm x 3.00 mm; TI's feature bullets call this one a 'Tiny 2 mm x 1.6 mm Device Footprint' and the other a 'Small 3 mm x 3 mm Device Footprint'. Supply voltage is 3 V to 5 V against 2.7 V to 5.5 V. Relative-humidity accuracy is +/-4 %RH against +/-2 %RH, so the HDC1080 is twice as accurate, the same kind of accuracy-class split that separates the DHT11 from the AM2302. The humidity sensor's ambient operating range is -20 to 60 C against -20 to 70 C. The last difference is functional rather than mechanical: this part carries ADR0 and ADR1 address-select pins and a DRDYn data-ready pin, so several can share one I2C bus, while the HDC1080 has none of the three and a fixed address. The two are not interchangeable in either direction, and a design with more than one sensor on a bus cannot substitute one for the other. Merging them would average together two populations with different accuracy specifications.",SCORED
hdc1080,REAL,Texas Instruments,"humidity + temperature; +/-2 %RH accuracy class, PWSON 3.00x3.00 mm",hdc1008|hdc1080 ; hdc1080|hhdc1080 ; hdc1080|hc1080,DISTINCT + TYPO,"Appears three times over: as the real half of the hdc1008 distinct pair, and as the real half of two separate typo pairs, hhdc1080 and hc1080. More of the analysis rests on this string than on any other.",Y,CONFIRMED,Texas Instruments,HDC1080,https://www.ti.com/lit/gpn/hdc1080,8/9/2026,Active,"Measures humidity and temperature. Confirmed against TI datasheet SNAS672A (revised January 2016), with the text extracted from the PDF. It differs from the HDC1008 on package (6-pin PWSON, 3.00 mm x 3.00 mm), supply voltage (2.7 V to 5.5 V), humidity accuracy (+/-2 %RH, twice as accurate) and I2C addressing: the address is fixed, with no ADR0 or ADR1 select pins and no DRDYn. The hdc1008 row gives the full side-by-side. An earlier version of this entry described the part as the successor to the HDC1008. That has been removed as unsupported: SNAS672A never mentions the HDC1008 and SNAS649B never mentions the HDC1080, so TI documents them as two products rather than as a part and its replacement. The HDC1008 is separately marked NRND in its own orderable addendum, which is a lifecycle fact about that part and not a statement that this one replaces it.",SCORED
dht11,REAL,Aosong (ASAIR),humidity + temperature; lower accuracy class,dht11|dht22,DISTINCT,"The DHT11 and the DHT22 are different parts in different accuracy classes, not one part sold under two names.",Y,CONFIRMED,Guangzhou Aosong Electronics Co. Ltd (trademark ASAIR),DHT11,https://www.aosong.com/en/Products/info.aspx?itemid=2257&lcid=139,8/3/2026,Obsolete,"Measures temperature and humidity in the lower accuracy class, superseded by the DHT20. Sourced on the manufacturer's own domain by three independent attestations: the ASAIR DHT11 product page on aosong.com; the DHT11 product page on asairsensors.com; and the manufacturer-hosted DHT20 datasheet (ASAIR V1.0, May 2021), which names the DHT11 twice as the superseded predecessor, calling the DHT20 'a new upgraded product of DHT11' and stating that it 'exceeded the reliability level of the previous generation sensor(DHT11)'. asairsensors.com is treated as manufacturer-operated on structural grounds rather than its own say-so: its download centre serves files directly from aosong.com/userfiles/. One limitation remains. The accuracy figures commonly quoted for this part (+/-5 %RH) are available only from mirrors, because the manufacturer pages give operating ranges but not tolerances, so they are not recorded here.",SCORED
dht22,REAL,Guangzhou Aosong Electronics Co. Ltd (trademark ASAIR),humidity + temperature; higher accuracy class. MANUFACTURER PART NAME IS AM2302 - 'DHT22' IS A MARKET ALIAS,dht11|dht22,DISTINCT,"A separate part from the DHT11. Verification also turned up a naming problem that was not being looked for, described in the notes: the manufacturer's name for this part is AM2302. Neither the pair's role nor the strings scored here are affected.",Y,CONFIRMED,Guangzhou Aosong Electronics Co. Ltd (trademark ASAIR),AM2302,https://aosong.com/uploadfiles/2025/04/20250417105409216.pdf,8/3/2026,Superseded (successor DHT20),"The part is real and is Aosong's, but its official name is AM2302 rather than DHT22. The evidence is manufacturer-hosted throughout: the AM2302 Technical Manual (ASAIR V1.0, 8 pp, footer 'Guangzhou Aosong Electronics Co.,Ltd') uses 'AM2302' 39 times and 'DHT22' not once, and the DHT20 datasheet names the DHT11 twice and the DHT22 not at all. 'DHT22' does appear in manufacturer storefront page titles, but in no manufacturer technical document, which makes it a market alias rather than a part name. The manual gives typical accuracy of +/-2 %RH, and that is the real basis for the accuracy-class distinction from the DHT11. One part named by two strings that share almost no characters is the opposite of the usual difficulty, where two near-identical strings must be told apart, and no string comparison reaches it in either direction; only a catalog carrying the alias does. The alias has no effect on the pairs scored here: 'am2302' does not occur anywhere in raw_snapshot.json, in any field, so there is no live collision in this dataset. Two counts of 'dht22' both appear in the analysis and both are correct. As a sensorType key, the identifier field this work concerns, dht22 occurs 22 times and dht11 3 times, which is what review_queue_sample.py reports. A case-insensitive search of the whole snapshot returns 28 instead, because the string also sits inside 6 box-level 'model' values of the form 'luftdaten_sds011_dht22'. Those are composite station labels that pack two device names into one string, one of them in the manufacturer's spelling (SDS011) and one not (AM2302), and they are a separate naming layer from the atomic identifier fields covered here.",SCORED
scd30,REAL,Sensirion,NDIR CO2 sensor,scd30|sgp30,DISTINCT,"The clearest test case in the set: a true NDIR CO2 measurement against the SGP30's calculated estimate, in two identifiers three characters apart.",Y,CONFIRMED,Sensirion,SCD30,https://sensirion.com/media/documents/4EAF6AF8/61652C3C/Sensirion_CO2_Sensors_SCD30_Datasheet.pdf,8/14/2026,Active,"Measures CO2, humidity and temperature. The CO2 reading is a true measurement rather than an inference: Sensirion specifies NDIR sensor technology on the first feature bullet and describes infrared detection of carbon dioxide in the product summary, with a humidity and temperature sensor integrated on the same module. This is the measured half of the scd30/sgp30 pair. Source: SCD30 datasheet, version 1.0 D1, May 2020.",SCORED
sgp30,REAL,Sensirion,"metal-oxide VOC / CO2eq (calculated, NOT true CO2; the field writes this eCO2)",scd30|sgp30 ; sgp30|sps30,DISTINCT,"Appears in two distinct pairs, with the SCD30 and with the SPS30. That its CO2 figure is calculated rather than measured is the substantive difference from the SCD30.",Y,CONFIRMED,Sensirion,SGP30,https://sensirion.com/media/documents/984E0DD5/61644B8B/Sensirion_Gas_Sensors_Datasheet_SGP30.pdf,8/14/2026,Obsolete,"A multi-pixel metal-oxide gas sensor for indoor air quality, which Sensirion introduced as the first metal-oxide gas sensor to carry multiple sensing elements on one chip. It outputs two signals, TVOC and CO2eq. The CO2eq figure is not a CO2 measurement: the datasheet states that both signals are calculated from ethanol and H2 measurements using internal conversion and baseline compensation algorithms. That is the substantive difference from the SCD30, which detects CO2 directly. Note on naming: much of the field writes this signal eCO2, but the manufacturer calls it CO2eq and the string eCO2 does not occur in the datasheet. Source: SGP30 datasheet, version 1.0 D1, May 2020. The lifecycle status comes from a different source and is worth separating: the datasheet says nothing about end of life and never mentions the SGP40. Sensirion's product page is labelled end of life and names the SGP40 as the successor, with a transition guide dated December 2020 (https://sensirion.com/products/catalog/SGP30, accessed 2026-08-14).",SCORED
